dataset,pipeline,recall_level,precision
NF-Corpus,BM25,0.0,0.5274161459003401
NF-Corpus,BM25,0.1,0.3064682748720744
NF-Corpus,BM25,0.2,0.1845937354097837
NF-Corpus,BM25,0.30000000000000004,0.13368778963328418
NF-Corpus,BM25,0.4,0.10493365220226879
NF-Corpus,BM25,0.5,0.08801509807701759
NF-Corpus,BM25,0.6000000000000001,0.06313672567542536
NF-Corpus,BM25,0.7000000000000001,0.05168558651530787
NF-Corpus,BM25,0.8,0.042655658754729965
NF-Corpus,BM25,0.9,0.0392156862745098
NF-Corpus,BM25,1.0,0.0392156862745098
NF-Corpus,BM25 + BGE-Reranker,0.0,0.5442529995886445
NF-Corpus,BM25 + BGE-Reranker,0.1,0.30711399204962836
NF-Corpus,BM25 + BGE-Reranker,0.2,0.19504772832946207
NF-Corpus,BM25 + BGE-Reranker,0.30000000000000004,0.12862247419010162
NF-Corpus,BM25 + BGE-Reranker,0.4,0.09652849679711817
NF-Corpus,BM25 + BGE-Reranker,0.5,0.07825207937209394
NF-Corpus,BM25 + BGE-Reranker,0.6000000000000001,0.05769387131616233
NF-Corpus,BM25 + BGE-Reranker,0.7000000000000001,0.0471143923156307
NF-Corpus,BM25 + BGE-Reranker,0.8,0.03783969728242174
NF-Corpus,BM25 + BGE-Reranker,0.9,0.034743722050223594
NF-Corpus,BM25 + BGE-Reranker,1.0,0.034743722050223594
SciFact,BM25,0.0,0.6232175179052114
SciFact,BM25,0.1,0.6232175179052114
SciFact,BM25,0.2,0.6232175179052114
SciFact,BM25,0.30000000000000004,0.6220279754215513
SciFact,BM25,0.4,0.6190455192812004
SciFact,BM25,0.5,0.6190455192812004
SciFact,BM25,0.6000000000000001,0.6059229937159504
SciFact,BM25,0.7000000000000001,0.6005721165229679
SciFact,BM25,0.8,0.5999505626382561
SciFact,BM25,0.9,0.5999505626382561
SciFact,BM25,1.0,0.5999505626382561
SciFact,BM25 + BGE-Reranker,0.0,0.6728563687774214
SciFact,BM25 + BGE-Reranker,0.1,0.6728563687774214
SciFact,BM25 + BGE-Reranker,0.2,0.6728563687774214
SciFact,BM25 + BGE-Reranker,0.30000000000000004,0.6694397021107548
SciFact,BM25 + BGE-Reranker,0.4,0.6650457627168154
SciFact,BM25 + BGE-Reranker,0.5,0.6650457627168154
SciFact,BM25 + BGE-Reranker,0.6000000000000001,0.6517260049891629
SciFact,BM25 + BGE-Reranker,0.7000000000000001,0.6465068491450071
SciFact,BM25 + BGE-Reranker,0.8,0.6427449443831023
SciFact,BM25 + BGE-Reranker,0.9,0.6427449443831023
SciFact,BM25 + BGE-Reranker,1.0,0.6427449443831023
TREC-COVID,BM25,0.0,0.8280656565656566
TREC-COVID,BM25,0.1,0.0
TREC-COVID,BM25,0.2,0.0
TREC-COVID,BM25,0.30000000000000004,0.0
TREC-COVID,BM25,0.4,0.0
TREC-COVID,BM25,0.5,0.0
TREC-COVID,BM25,0.6000000000000001,0.0
TREC-COVID,BM25,0.7000000000000001,0.0
TREC-COVID,BM25,0.8,0.0
TREC-COVID,BM25,0.9,0.0
TREC-COVID,BM25,1.0,0.0
TREC-COVID,BM25 + BGE-Reranker,0.0,0.9022721949533096
TREC-COVID,BM25 + BGE-Reranker,0.1,0.0
TREC-COVID,BM25 + BGE-Reranker,0.2,0.0
TREC-COVID,BM25 + BGE-Reranker,0.30000000000000004,0.0
TREC-COVID,BM25 + BGE-Reranker,0.4,0.0
TREC-COVID,BM25 + BGE-Reranker,0.5,0.0
TREC-COVID,BM25 + BGE-Reranker,0.6000000000000001,0.0
TREC-COVID,BM25 + BGE-Reranker,0.7000000000000001,0.0
TREC-COVID,BM25 + BGE-Reranker,0.8,0.0
TREC-COVID,BM25 + BGE-Reranker,0.9,0.0
TREC-COVID,BM25 + BGE-Reranker,1.0,0.0
