dataset,query_id,bm25_ndcg,bm25_mrr,bm25_recall,bm25_map,reranker_ndcg,reranker_mrr,reranker_recall,reranker_map,delta_nDCG@10,delta_MRR@10,delta_Recall@10,delta_MAP@10
SciFact,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,36,0.21840743681816419,0.16666666666666666,0.5,0.08333333333333333,0.23719771276929622,0.2,0.5,0.1,0.01879027595113203,0.033333333333333354,0.0,0.016666666666666677
SciFact,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,48,0.6309297535714575,0.5,1.0,0.5,0.6309297535714575,0.5,1.0,0.5,0.0,0.0,0.0,0.0
SciFact,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,54,0.3562071871080222,0.16666666666666666,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,0.3333333333333333,0.14379281289197782,0.16666666666666666,0.0,0.16666666666666666
SciFact,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,70,1.0,1.0,1.0,1.0,0.46845052016107697,0.25,1.0,0.26785714285714285,-0.5315494798389231,-0.75,0.0,-0.7321428571428572
SciFact,72,0.3010299956639812,0.1111111111111111,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.6989700043360187,0.8888888888888888,0.0,0.8888888888888888
SciFact,75,0.6309297535714575,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.36907024642854247,0.5,0.0,0.5
SciFact,94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,127,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.6666666666666667,0.0,0.6666666666666667
SciFact,128,0.5,0.3333333333333333,1.0,0.3333333333333333,0.6309297535714575,0.5,1.0,0.5,0.13092975357145753,0.16666666666666669,0.0,0.16666666666666669
SciFact,129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SciFact,133,0.13120507751234178,0.2,0.2,0.04,0.3571610374319355,0.25,0.6,0.16714285714285712,0.22595595991959372,0.04999999999999999,0.39999999999999997,0.1271428571428571
SciFact,137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,141,1.0,1.0,1.0,1.0,0.8772153153380493,1.0,1.0,0.75,-0.1227846846619507,0.0,0.0,-0.25
SciFact,142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,163,1.0,1.0,1.0,1.0,0.6309297535714575,0.5,1.0,0.5,-0.36907024642854247,-0.5,0.0,-0.5
SciFact,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,179,0.5855700749881525,1.0,0.5,0.41666666666666663,0.75369761125927,1.0,0.75,0.6041666666666666,0.16812753627111754,0.0,0.25,0.1875
SciFact,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SciFact,183,0.31546487678572877,0.125,1.0,0.125,0.43067655807339306,0.25,1.0,0.25,0.11521168128766429,0.125,0.0,0.125
SciFact,185,0.6309297535714575,0.5,1.0,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,-0.13092975357145753,-0.16666666666666669,0.0,-0.16666666666666669
